,SVFNR,HEINUM,POSTNR,HEITI_NF,HEITI_TGF,HUSNR,NAKV_XY,HNIT,N_HNIT_WGS84,E_HNIT_WGS84,HUSMERKING,municipality,houses
107611,0,1004886,112.0,Fannafold,Fannafold,227.0,,POINT (364137 407041),64.13923291,-21.79130768,227,Reykjavík,"Fannafold 227, 112"
75929,0,1004887,112.0,Fannafold,Fannafold,229.0,,POINT (364121 407047),64.13928034,-21.79164141,229,Reykjavík,"Fannafold 229, 112"
4264,0,1004727,112.0,Fannafold,Fannafold,23.0,,POINT (363482 406822),64.13701044,-21.80454758,23,Reykjavík,"Fannafold 23, 112"
8315,0,1004888,112.0,Fannafold,Fannafold,231.0,,POINT (364108 407052),64.13932,-21.79191269,231,Reykjavík,"Fannafold 231, 112"
8316,0,1004889,112.0,Fannafold,Fannafold,233.0,,POINT (364063 407063),64.13940075,-21.79284599,233,Reykjavík,"Fannafold 233, 112"
75930,0,1004890,112.0,Fannafold,Fannafold,235.0,,POINT (364067 407084),64.13959052,-21.79278296,235,Reykjavík,"Fannafold 235, 112"
8317,0,1004891,112.0,Fannafold,Fannafold,237.0,,POINT (364080 407096),64.1397032,-21.79252711,237,Reykjavík,"Fannafold 237, 112"
75931,0,1004892,112.0,Fannafold,Fannafold,239.0,,POINT (364097 407102),64.1397637,-21.79218373,239,Reykjavík,"Fannafold 239, 112"
4265,0,1004728,112.0,Fannafold,Fannafold,24.0,,POINT (363519 406811),64.13692659,-21.80377845,24,Reykjavík,"Fannafold 24, 112"
8318,0,1004893,112.0,Fannafold,Fannafold,241.0,,POINT (364113 407096),64.13971627,-21.79184999,241,Reykjavík,"Fannafold 241, 112"
75932,0,1004894,112.0,Fannafold,Fannafold,243.0,,POINT (364147 407079),64.13957739,-21.79113694,243,Reykjavík,"Fannafold 243, 112"
8319,0,1004895,112.0,Fannafold,Fannafold,245.0,,POINT (364160 407070),64.13950189,-21.79086204,245,Reykjavík,"Fannafold 245, 112"
8472,0,1004896,112.0,Fannafold,Fannafold,247.0,,POINT (364170 407057),64.13938935,-21.79064508,247,Reykjavík,"Fannafold 247, 112"
8473,0,1004897,112.0,Fannafold,Fannafold,249.0,,POINT (364179 407045),64.13928538,-21.79044954,249,Reykjavík,"Fannafold 249, 112"
4266,0,1004729,112.0,Fannafold,Fannafold,25.0,,POINT (363464 406832),64.13709289,-21.80492599,25,Reykjavík,"Fannafold 25, 112"
8474,0,1004898,112.0,Fannafold,Fannafold,251.0,,POINT (364185 407034),64.13918918,-21.79031646,251,Reykjavík,"Fannafold 251, 112"
4267,0,1004730,112.0,Fannafold,Fannafold,26.0,,POINT (363537 406802),64.13685309,-21.80340096,26,Reykjavík,"Fannafold 26, 112"
4268,0,1004731,112.0,Fannafold,Fannafold,27.0,,POINT (363437 406842),64.13717176,-21.80548904,27,Reykjavík,"Fannafold 27, 112"
4269,0,1004732,112.0,Fannafold,Fannafold,28.0,,POINT (363561 406793),64.13678199,-21.80290038,28,Reykjavík,"Fannafold 28, 112"
64324,0,1004733,112.0,Fannafold,Fannafold,29.0,,POINT (363422 406856),64.13729125,-21.80580955,29,Reykjavík,"Fannafold 29, 112"
6524,0,1004707,112.0,Fannafold,Fannafold,3.0,,POINT (363433 406767),64.13649808,-21.80550278,3,Reykjavík,"Fannafold 3, 112"
4270,0,1004734,112.0,Fannafold,Fannafold,30.0,,POINT (363578 406788),64.13674394,-21.80254705,30,Reykjavík,"Fannafold 30, 112"
64325,0,1004735,112.0,Fannafold,Fannafold,31.0,,POINT (363403 406875),64.13745395,-21.80621668,31,Reykjavík,"Fannafold 31, 112"
4271,0,1004736,112.0,Fannafold,Fannafold,32.0,,POINT (363595 406820),64.13703745,-21.80222739,32,Reykjavík,"Fannafold 32, 112"
64326,0,1004737,112.0,Fannafold,Fannafold,33.0,,POINT (363384 406897),64.13764353,-21.80662655,33,Reykjavík,"Fannafold 33, 112"
4272,0,1004738,112.0,Fannafold,Fannafold,34.0,,POINT (363570 406833),64.13714401,-21.80275214,34,Reykjavík,"Fannafold 34, 112"
64327,0,1004739,112.0,Fannafold,Fannafold,35.0,,POINT (363411 406922),64.13787831,-21.80609538,35,Reykjavík,"Fannafold 35, 112"
4273,0,1004740,112.0,Fannafold,Fannafold,36.0,,POINT (363550 406841),64.13720775,-21.80316975,36,Reykjavík,"Fannafold 36, 112"
64328,0,1004741,112.0,Fannafold,Fannafold,37.0,,POINT (363429 406905),64.13773313,-21.80571058,37,Reykjavík,"Fannafold 37, 112"
4274,0,1004742,112.0,Fannafold,Fannafold,38.0,,POINT (363528 406847),64.13725277,-21.80362658,38,Reykjavík,"Fannafold 38, 112"
64329,0,1004743,112.0,Fannafold,Fannafold,39.0,,POINT (363444 406891),64.13761365,-21.80539007,39,Reykjavík,"Fannafold 39, 112"
6525,0,1004708,112.0,Fannafold,Fannafold,4.0,,POINT (363507 406738),64.13626765,-21.80395818,4,Reykjavík,"Fannafold 4, 112"
